Gender,Branch Visit Satisfaction,Would You Recommend Us?,What is your demand or suggestion from Afghanistan International Bank?,Where do you want a new branch to be opened?,What is your demand or suggestion from Afghanistan International Bank?_Analysis
Male,Very Satisfied,Yes,"I really like the fast service, please open more branches in smaller towns.",Kabul,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Female,Satisfied,Yes,"Staff were polite, but the wait time was too long.",Mazar-e-Sharif,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Male,Neutral,No,The ATM in my area is often out of service.,Kandahar,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Female,Unsatisfied,No,I lost my card and it took too long to replace.,Herat,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Male,Very Satisfied,Yes,Excellent online banking service.,Kabul,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Female,Neutral,No,"You should improve your mobile app, it crashes a lot.",Jalalabad,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Male,Satisfied,Yes,Good service overall but some staff are not trained enough.,Kunduz,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Female,Very Unsatisfied,No,The branch manager was not helpful at all.,Bamyan,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Male,Satisfied,Yes,I want to open a business account but couldnâ€™t find enough info.,Kabul,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
Female,Very Satisfied,Yes,More training for tellers would improve the experience.,Ghazni,"Analysis error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-key*here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
