Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,What is your overall suggestion?,What is your experience with our services?
Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Customer support was very helpful.,The bank should lower interest rates.
Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,I think the service could be faster.,More ATMs are needed in my area.
Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,I want to see more financial literacy programs.,I think the service could be faster.
Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Please improve the online banking UI.,Customer support was very helpful.
Neutral,Neutral,Strongly Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,More branches should be opened in rural areas.,I had an issue with the mobile app login.
Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,The bank should lower interest rates.,"Everything is fine, no suggestions."
Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,I think the service could be faster.,Please improve the online banking UI.
Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Disagree,More branches should be opened in rural areas.,Great experience overall.
Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Great experience overall.,I want to see more financial literacy programs.
Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,"Everything is fine, no suggestions.",Great experience overall.
Neutral,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,More ATMs are needed in my area.,The bank should lower interest rates.
Agree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,"Everything is fine, no suggestions.",Customer support was very helpful.
Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Great experience overall.,More ATMs are needed in my area.
Strongly Disagree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,I want to see more financial literacy programs.,The bank should lower interest rates.
Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Customer support was very helpful.,More branches should be opened in rural areas.
Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Customer support was very helpful.,More ATMs are needed in my area.
Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,I think the service could be faster.,I had an issue with the mobile app login.
Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Agree,I had an issue with the mobile app login.,The bank should lower interest rates.
Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,More ATMs are needed in my area.,More branches should be opened in rural areas.
Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,The bank should lower interest rates.,Customer support was very helpful.
Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,I think the service could be faster.,Great experience overall.
Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,More branches should be opened in rural areas.,I think the service could be faster.
Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Neutral,More branches should be opened in rural areas.,I think the service could be faster.
Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Customer support was very helpful.,I want to see more financial literacy programs.
Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,I want to see more financial literacy programs.,Great experience overall.
Disagree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Customer support was very helpful.,I think the service could be faster.
Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,I want to see more financial literacy programs.,More branches should be opened in rural areas.
Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Please improve the online banking UI.,"Everything is fine, no suggestions."
Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,I had an issue with the mobile app login.,More branches should be opened in rural areas.
Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,The bank should lower interest rates.,Great experience overall.
Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Please improve the online banking UI.,More branches should be opened in rural areas.
Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Please improve the online banking UI.,"Everything is fine, no suggestions."
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,I had an issue with the mobile app login.,I had an issue with the mobile app login.
Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,More branches should be opened in rural areas.,Please improve the online banking UI.
Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,"Everything is fine, no suggestions.",I want to see more financial literacy programs.
Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,The bank should lower interest rates.,I think the service could be faster.
Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,I want to see more financial literacy programs.,I think the service could be faster.
Strongly Disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Great experience overall.,The bank should lower interest rates.
Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,More ATMs are needed in my area.,I want to see more financial literacy programs.
Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Disagree,I think the service could be faster.,The bank should lower interest rates.
Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,I had an issue with the mobile app login.,I want to see more financial literacy programs.
Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,"Everything is fine, no suggestions.",I had an issue with the mobile app login.
Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,I think the service could be faster.,"Everything is fine, no suggestions."
Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Neutral,"Everything is fine, no suggestions.",The bank should lower interest rates.
Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Customer support was very helpful.,The bank should lower interest rates.
Strongly Disagree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,I had an issue with the mobile app login.,I think the service could be faster.
Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,I think the service could be faster.,Great experience overall.
Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,More branches should be opened in rural areas.,I think the service could be faster.
Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,I had an issue with the mobile app login.,I think the service could be faster.
Strongly Agree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,I want to see more financial literacy programs.,More branches should be opened in rural areas.
Disagree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Great experience overall.,The bank should lower interest rates.
